On The Road Again|Canned Heat
Castin' My Spell|The Johnny Otis Show
Wrap Her Up|Elton John
I Do Love You|Billy Stewart
I Believe I'll Love On|Jackie Wilson
O' Falling Star|The Four Knights
Brite Eyes|Robbin Thompson Band
Winter World Of Love|Engelbert Humperdinck
Any Other Way|Chuck Jackson
Lifestyles Of The Rich And Shameless|Lost Boyz
Keep On Dancing|The Gentrys
Tangerine|The Salsoul Orchestra
It Ain't Me Babe|The Turtles
I Only Want To Be With You|Bay City Rollers
I'll Make Him Love Me|Barbara Lewis
Make Me Forget|Bobby Rydell
Paper Doll|P.M. Dawn
You've Got To Love Her With A Feeling|Freddy King
The Joint|EPMD
Hold Back The Night|Graham Parker And The Rumour
That's Where It's At|Sam Cooke
I Play And Sing|Dawn
Top Forty  News  Weather And Sports|Mark Dinning
Hollywood|Shooting Star
Hang On Sloopy|Rick Derringer
Gonna' Get Along Without You Now|Tracey Dey
Ain't Nothing Like The Real Thing/You're All I Need To Get By|Chris Christian (with Amy Holland)
(See You At The) Go-Go|Dobie Gray
Johnny Come Home|Fine Young Cannibals
Pay To The Piper|Chairman Of The Board
Betcha She Don't Love You|Evelyn King
Amazing Grace|The Pipes And Drums And The Military Band Of The Royal Scots Dragoon Guards
How To Dance|Bingo Boys Featuring Princessa
Sixty Minute Man/Mother-In-Law|Clarence Carter
Isn't It Amazing|The Crests featuring Johnny Mastro
Can't Get Over Losing You|Donnie Elbert
I Believed It All|Pozo Seco Singers
Sometimes I Wish I Were A Boy|Lesley Gore
Without You|David Bowie
I Go To Rio|Pablo Cruise
A Little Bit Of Ecstasy|Jocelyn Enriquez
Mellow Moonlight|Leon Haywood
Wherever You Go|Voices Of Theory
Angel (What In The World's Come Over Us)|Atlanta Rhythm Section
Love Don't Live Here Anymore|Madonna
Black Sheep|Sam The Sham and the Pharaohs
Forever|Little Steven
Sad Tomorrows|Trini Lopez
Kings Of The Party|Brownsville Station
Zabadak|Dave Dee  Dozy  Beaky  Mick And Tich
Hail! Hail! Rock And Roll!|Starland Vocal Band
Flashes|Tiggi Clay
I'll Make You Mine|Bobby Vee With The Eligibles
Wake Up And Be Somebody|Brainstorm
I'll See You In My Dreams|Pat Boone
Taurus|Dennis Coffey & The Detroit Guitar Band
History Repeats Itself|Cab Calloway
Dream On|The Righteous Brothers
Soul Makossa|Manu Dibango
Throw Your Hands Up|L.V.
Silly Wasn't I|Valerie Simpson
Crazy About The La La La|Smokey Robinson & The Miracles
Mellow Yellow|Donovan
Waking Up Alone|Paul Williams
I Need You|The Friends Of Distinction
Lookin' Out For #1|Bachman-Turner Overdrive
Found Love|Jimmy Reed
Medley II|Stars On 45
Stand By Me|David & Jimmy Ruffin
Just A Little Bit|Roy Head
Long Live Love|Sandie Shaw
Fool For Your Love|Jimmy Hall
Wink|Neal McCoy
When Something Is Wrong With My Baby|Sam & Dave
Ling-Ting-Tong|Buddy Knox
Follow My Heartbeat|A'me Lorain
Lovin' Season|Gene And Debbe
My Body Says Yes|Titiyo
Modern Woman (From Ruthless People)|Billy Joel
Oh Why|The Teddy Bears
The Big Hurt|Miss Toni Fisher
All Cried Out|Denine With Collage's Adam Marano
I'm Hanging Up My Heart For You|Solomon Burke
A Million And One|Dean Martin
I'm So Glad I'm Standing Here Today|The Crusaders With Joe Cocker
Nothing New (Same Old Thing)|Fats Domino
Dancing In The Street|The Mamas & The Papas
Without The One You Love (Life's Not Worth While)|Four Tops
After The Feeling Is Gone|Five Flights Up
Knight In Rusty Armour|Peter And Gordon
Too Much Time On My Hands|Styx
Queen Of Clubs|KC And The Sunshine Band
Everybody Needs Somebody To Love|Solomon Burke
Games People Play|Inner Circle
Take Me To The River|Syl Johnson
Booti Call|BLACKstreet
Down To The Nightclub|Tower Of Power
Wildflower|The New Birth
Nightgown|Candyman
Cowboys To Girls|The Intruders
Jump To It|Aretha Franklin
It's For You|Player
Everywhere|Fleetwood Mac
I Will Get There|Boyz II Men
That's The Only Way|The 4 Seasons
Ten Commandments|Prince Buster
Back When My Hair Was Short|Gunhill Road
What Now|Gene Chandler
A Little Feeling (Called Love)|Jack Scott
Gloria|Enchantment
Automatic Man|Michael Sembello
My Cherie|Al Martino
There Never Was A Time|Jeannie C. Riley
I Can't Stand It No More|Peter Frampton
Sugaree|Rusty York
Little Miracles (Happen Every Day)|Luther Vandross
Born 2 B.R.E.E.D.|Monie Love
Wooden Heart|Bobby Vinton
French Kiss|Lil Louis
Rock Around The Clock|Bill Haley And His Comets
I Shall Be Released|The Box Tops
Mega Force|707
Tell The World How I Feel About 'Cha Baby|Harold Melvin And The Blue Notes
Yes I Want You|Ivory Joe Hunter
Streets Of Philadelphia (From Philadelphia)|Bruce Springsteen
Don't Let Love Pass Me By|Frankie Avalon
Love You So Much|New Colony Six
Shazam!|Duane Eddy His Twangy Guitar And The Rebels
Fright Night|The J. Geils Band
Paparazzi|Xzibit
Moneytalks|AC/DC
Girlstown|Super Cat
What Time Is It?|The Jive Five With Eugene Pitts
Black Or White|Michael Jackson
He Made A Woman Out Of Me|Bobbie Gentry
Out Of This World|The Chiffons
Sermonette|Della Reese
You're Moving Out Today|Carole Bayer Sager
Taxi Dancing|Rick Springfield With Randy Crawford
Any Way That You Want Me|Liverpool Five
If She Should Come To You (La Montana)|Anthony Newley
Physical Funk|Domino
Hootenanny Saturday Night|The Brothers Four
Every Night  Every Day|Jimmy McCracklin
A Taste Of Honey|Tony Bennett
You're A Sweetheart|Dinah Washington
A Touch Of Pink|Jerry Wallace
If Loving You Is Wrong I Don't Want To Be Right|Millie Jackson
In Your Soul|Corey Hart
Can You Please Crawl Out Your Window?|Bob Dylan
Ebb Tide|Bobby Freeman
Cabaret|Herb Alpert & The Tijuana Brass
You Are Beautiful|The Stylistics
On The Wings Of A Nightingale|The Everly Brothers
All For Love|Bryan Adams/Rod Stewart/Sting
I Can't Stop|The Osmond Brothers
Where Is The Love|Roberta Flack & Donny Hathaway
The Girl Is Mine|Michael Jackson And Paul McCartney
You Don't Have To Go Home Tonight|The Triplets
Blame It On Love|Smokey Robinson & Barbara Mitchell
Hold Me|Colin James Hay
Dancing In The Sheets|Shalamar
Peas 'N' Rice|Freddie McCoy
Don't Forget Me (When I'm Gone)|Glass Tiger
Hold On To The Night|Starz
Help Me (Get Myself Back Together Again)|The Spellbinders
Only One Woman|Nigel Olsson
Dooley|The Olympics
I Don't Need No Doctor|Ray Charles and his Orchestra
Fashion|David Bowie
On Campus|Dickie Goodman
Milord|Teresa Brewer
Don't Let Your Left Hand Know|Joe Tex
If You Really Want Me To  I'll Go|The Ron-Dels
Start It All Over|McGuffey Lane
January|Pilot
Nag|The Halos
Blind Man|Bobby Bland
Stoned Love|The Supremes
In My Room|The Beach Boys
Waiting At The Bus Stop|Bobby Sherman
Mom And Dad's Waltz|Patti Page
I Still Love You|Lil Suzy
Down To The Line|Bachman-Turner Overdrive
Unchained Melody|Heart
Hungry For Love|San Remo Golden Strings
Peanut Butter|The Marathons
Don't Lose My Number|Phil Collins
You're All That Matters To Me|Curtis Stigers
Big Boss Line|Jackie Wilson
Star|Stealers Wheel
I Love|Tom T. Hall
I'm Overjoyed|Nona Gaye
Gonna Make It|SaFire
Ready To Take A Chance Again|Barry Manilow
Little Bit Of Soap|Nigel Olsson
Everybody Go Home|Eydie Gorme
Pay Back|Etta James
This Moment In Time|Engelbert Humperdinck
Best Of My Love|The Emotions
Release Me|Wilson Phillips
Sunday And Me|Jay & The Americans
Love Lifted Me|Kenny Rogers
To Love Somebody|Bee Gees
When I Fall In Love/Are You Lonesome Tonight|Donny Osmond
Day-In Day-Out|David Bowie
Be Mad Little Girl|Bobby Darin
Is It Love|Mr. Mister
Industrial Disease|Dire Straits
Black Seeds Keep On Growing|The Main Ingredient
Congratulations|Rick Nelson
Sandy|Dion
Pirate|Cher
We Must Be In Love|Pure Soul
Turn On Your Love Light|The Human Beinz
Let Me Know|Cam'ron
Fulton St.|Leschea
I Understand (Just How You Feel)|The G-Clefs
La La Means I Love You|Tierra
I'll Take Good Care Of You|Garnet Mimms
The Girl's A Devil|The Dukays
Dreams Of The Everyday Housewife|Wayne Newton
Tied Up|Olivia Newton-John
Jimmy Martinez|Marty Robbins
Wanted Man|Ratt
Joy And Pain|Rob Base & D.J. E-Z Rock
Softly  As I Leave You|Frank Sinatra
Nature Of Love|Waterfront
America Is My Home - Pt. 1|James Brown And The Famous Flames
Still|Commodores
The House Of The Rising Sun|Dolly Parton
One Night Affair|Jerry Butler
Do You Believe In Shame?|Duran Duran
Madrid|Nat King Cole
Church Of Your Heart|Roxette
Up In A Puff Of Smoke|Polly Brown
Celebrity Skin|Hole
I Told Myself A Lie|Clyde McPhatter
Don't Ask Me Why|Elvis Presley With The Jordanaires
A Thing Of The Past|The Shirelles
Do You Wanna Touch Me (Oh Yeah)|Joan Jett & the Blackhearts
Now That You've Gone|Connie Stevens
Heart In Hand|Brenda Lee
You Wear It Well|El DeBarge With DeBarge
How Sweet It Is (To Be Loved By You)|Jr. Walker & The All Stars
Baby The Rain Must Fall|Glenn Yarbrough
Don't Call Us  We'll Call You|Sugarloaf/Jerry Corbetta
Get Off Of My Cloud|The Rolling Stones
Cruel Shoes|Steve Martin
It Doesn't Matter Anymore/When Will I Be Loved|Linda Ronstadt
All I See|A+
Train Of Love|Annette With The Afterbeats
America|Yes
Yearning For Your Love|The Gap Band
Callin' Doctor Casey|John D. Loudermilk
A Love Of My Own|Carla Thomas
The Immigrant|Neil Sedaka
I Ain't Got To Love Nobody Else|The Masqueraders
I'm Gonna Be A Country Girl Again|Buffy Sainte-Marie
I'd Rather Love You|Charley Pride
Stop And Think It Over|Dale & Grace
Fall On Me|R.E.M.
All The Places (I Will Kiss You)|Aaron Hall
Bad Boy|Ray Parker Jr.
Love With The Proper Stranger|Jack Jones
Two Different Worlds|Lenny Welch
For What It's Worth|The Staple Singers
(Love Theme From) One Eyed Jacks|Ferrante & Teicher
Give Me All Night|Carly Simon
Down By The River|Albert Hammond
Shaker Song|Spyro Gyra
House Of Love|Amy Grant With Vince Gill
Lonely Soldier|Mike Williams
Don't Stop Now/Since I Don't Have You|Eddie Holman
Cold Feet|Albert King
Didn't We|Barbra Streisand
Sitting In The Park|Billy Stewart
Sweet Darlin'|Martha Reeves & The Vandellas
Atlanta Lady (Something About Your Love)|Marty Balin
Love No Limit|Mary J. Blige
Real Live Girl|Steve Alaimo
Twistin' With Linda|The Isley Brothers
What A Surprise|Johnny Maestro The Voice Of The Crests
Midnight In Moscow|Kenny Ball and his Jazzmen
Don't Misunderstand Me|Rossington Collins Band
Four By The Beatles|The Beatles
I Love You Yes I Do|Bull Moose Jackson
Come With Me|Keith Sweat (Featuring Ronald Isley)
You To Me Are Everything  Part I|Revelation
San Francisco Girls (Return of the Native)|Fever Tree
Breakadawn|De La Soul
Love Is Me  Love Is You|Connie Francis
How Did We Lose It Baby|Jerry Butler
Jump Start|Natalie Cole
Batman Theme|The Marketts
Tired Of Being Lonely|Sharpees
Take It Easy|Eagles
Get Down|Harvey Scales
Fair Game|Crosby  Stills & Nash
Long As The Rose Is Red|Florraine Darlin
Shake|Andrew Ridgeley
Viva Las Vegas|Elvis Presley
Just The Two Of Us|Will Smith
Money Honey|Bay City Rollers
Rain In The Summertime|The Alarm
Up The Creek (without A Paddle)|The Temptations
Groovy Summertime|The Love Generation
She Don't Use Jelly|The Flaming Lips
Nothing Goes Up (Without Coming Down)|Nat King Cole
Monsters And Angels|Voice Of The Beehive
New World Man|Rush
Wild Wild West|Will Smith Featuring Dru Hill & Kool Mo Dee
What Will I Tell My Heart|The Harptones
Lover|Michael Stanley Band
Secret|Madonna
Moonlight Bay|The Drifters
Private Number|Judy Clay & William Bell
Wide River|The Steve Miller Band
Country Road|James Taylor
I Will Remember You|Amy Grant
Early Every Morning (Early Every Evening Too)|Dinah Washington
All In My Mind|Maxine Brown
Groovy Tonight|Bobby Rydell
Fancy Dancer|Commodores
I'm Indestructible|Jack Jones
Soft And Wet|Prince
It Keeps You Runnin'|Carly Simon
We're In This Love Together|Al Jarreau
In A Big Country|Big Country
Funny How Time Slips Away|Dorothy Moore
A Must To Avoid|Herman's Hermits
I Can't Stop Thinking Of You|Bobbi Martin
I Swear|John Michael Montgomery
Route 66 Theme|Nelson Riddle
Talk It Over In The Morning|Anne Murray
Some Of Shelly's Blues|Nitty Gritty Dirt Band
Even Now|Bob Seger & The Silver Bullet Band
Lay All Your Love On Me|Information Society
Standing On The Top-Part 1|The Temptations Featuring Rick James
The Most Beautiful Words|Della Reese
Goin' On|The Beach Boys
My Boy|Elvis Presley
Chitty Chitty Bang Bang|Paul Mauriat
Didn't It Look So Easy|The Stairsteps
Take It To Heart|Michael McDonald
Big Boat|Peter  Paul & Mary
Pointed Toe Shoes|Carl Perkins
Swamp Witch|Jim Stafford
Stormy|Santana
(Dance With The) Guitar Man|Duane Eddy and the Rebelettes
True Love Goes On And On|Burl Ives
Move Over|Steppenwolf
Funkytown|Pseudo Echo
Stay With Me|Lorraine Ellison
Cleo's Back|Jr. Walker & The All Stars
Got A New Love|Good Question
Our Last Song Together|Bo Donaldson And The Heywoods
Make Believe It's Your First Time|Bobby Vinton
I'll Be Seeing You|Frank Sinatra
Midnight Man|James Gang
Funny How Time Slips Away|The Spinners
Spend Some Time|Elvin Bishop Featuring Mickey Thomas
Never Can Say Goodbye|The Communards
(Theme from) Charlie's Angels|Henry Mancini And His Orchestra
Big Bad Mamma (From Def Jam's How To Be A Player)|Foxy Brown Featuring Dru Hill
Power Of Love/Love Power|Luther Vandross
Open|Smokey Robinson
You Make Me Crazy|Sammy Hagar
La Montana (If She Should Come To You)|Roger Williams
You Don't Have To Walk In The Rain|The Turtles
That Happy Feeling|Bert Kaempfert And His Orchestra
Blue Eyes|Elton John
Hey There Little Firefly Part I|Firefly
Hello Darlin'|Conway Twitty
Me (Without You)|Andy Gibb
La La La La La|The Blendells
Tonight I'll Be Staying Here With You|Bob Dylan
Land Of Make Believe|Chuck Mangione With The Hamilton Philharmonic Orchestra
Love Me All The Way|Kim Weston
That's Why I Love You|Andrew Gold
Watermelon Crawl|Tracy Byrd
Roll In My Sweet Baby's Arms/I'm So Lonesome I Could Cry|Hank Wilson
How High The Moon (Part 1)|Ella Fitzgerald
There Must Be A Way|Joni James
Go Insane|Lindsey Buckingham
Time Passages|Al Stewart
(Call Me Your) Anything Man|Bobby Moore
Lisa  Listen To Me|Blood  Sweat & Tears
He's So Heavenly|Brenda Lee
Let Me Return The Favor|Andrea Martin
The Magic Of Our Summer Love|The Tymes
Ma Ma Ma Marie|The Gaylords
When You Dance|Jay & The Americans
Love In The First Degree|Bananarama
Don't Hide Your Love|Cher
Chinese Kung Fu|Banzaii
My True Carrie  Love|Nat King Cole
Baby  We Better Try To Get It Together|Barry White
More Stars|More Stars On 45
Time Seller|The Spencer Davis Group
Shock The Monkey|Peter Gabriel
Fiddler On The Roof|The Village Stompers
You Don't Know What It Means|Jackie Wilson
I Just Wanna Be Your Friend|Lighthouse
When The Lovelight Starts Shining Through His Eyes|The Supremes
One Broken Heart For Sale|Elvis Presley With The Mello Men
No One To Depend On|Santana
Girl (Why You Wanna Make Me Blue)|The Temptations
Love And Desire (Part I)|Arpeggio
Steady|Jules Shear
Love For Free|Rell Featuring Jay-Z
Gone  Gone  Gone|Bad Company
Pain In My Heart|Otis Redding
School's Out|Alice Cooper
Gidget|Jimmy Darren
Drive My Car|Gary Toms Empire
Six Days On The Road|Dave Dudley
Rain On The Scarecrow|John Mellencamp
What's Your Name|Andy & David Williams
The Cat In The Window (The Bird In The Sky)|Petula Clark
Headed For The Future|Neil Diamond
Right Next To Me|Whistle
Everybody Knows About My Good Thing Pt. 1|Little Johnny Taylor
Sho Nuff Boogie (Part I)|Sylvia And The Moments
I've Had Enough|Wings
Out Of The Blue|Tommy James And The Shondells
I Can't Believe What You Say (For Seeing What You Do)|Ike & Tina Turner
I'll Just Have A Cup Of Coffee (Then I'll Go)|Claude Gray
Let's Go (pony)|The Routers
Have You Seen Your Mother  Baby  Standing In The Shadow?|The Rolling Stones
Anyway That You Want Me|The American Breed
When I Look Into Your Eyes|Firehouse
Wishing On A Star|The Cover Girls
Living Doll|David Hill
Typical Male|Tina Turner
Closer To Fine|Indigo Girls
Stay|Rufus/Chaka Khan
Love Me In The Daytime|Doris Day
The Shape I'm In|Johnny Restivo
Rock Of Life|Rick Springfield
I'll Go To My Grave Loving You|The Statler Brothers
Little Miss Blue|Dion
Rock 'N' Roll (I Gave You The Best Years Of My Life)|Terry Jacks
Let's Clean Up The Ghetto|Philadelphia International All Stars
Dance With Me|Orleans
Someday|Dave Loggins
Swear|Sheena Easton
Get It Up|Ronnie Milsap
Blowing Kisses In The Wind|Paula Abdul
One-Way Ticket|Tyrone Davis
Memphis Underground|Herbie Mann
8 X 10|Bill Anderson
Maybe I Know|Lesley Gore
Have Mercy Baby|The Bobbettes
I Wanna Get Next To You|Christion
Distant Lover|Marvin Gaye
Lonesome Number One|Don Gibson
Party Girl|Tommy Roe
Cherry Berry Wine|Charlie Mccoy
Rendezvous|The Hudson Brothers
Doin It|LL Cool J
Lay Lady Lay|Ferrante & Teicher
Over The Rainbow|Gary Tanner
That's Why I'm Here|Kenny Chesney
Heaven|Bryan Adams
Wang Dang Doodle|Ko Ko Taylor
(You Keep Me) Hangin' On|Joe Simon
Love Me Do|The Beatles
Fly Me To The Moon|Sam & Bill
Sun Goddess|Ramsey Lewis And Earth  Wind & Fire
Your Time Hasn't Come Yet  Baby|Elvis Presley With The Jordanaires
On A Sunday Afternoon|Lighter Shade Of Brown
Minstrel In The Gallery|Jethro Tull
Try A Little Kindness|Glen Campbell
California Girls|The Beach Boys
Comin' In The Back Door|The Baja Marimba Band
Take That To The Bank|Shalamar
Don't Hold Back|Chanson
Girl On The Billboard|Del Reeves
Glory Bound|The Grass Roots
Amen|The Impressions
Safe And Sound|Fontella Bass
She's Not There|Santana
From His Woman To You|Barbara Mason
This Ain't A Love Song|Bon Jovi
Dance  Everybody  Dance|The Dartells
When You Loved Me|Brenda Lee
We Can't Go Wrong|The Cover Girls
Come Saturday Morning|The Sandpipers
I'll Be There|Gerry And The Pacemakers
Expecting To Fly|Buffalo Springfield
It Only Happened Yesterday|Jack Scott
Days Are Numbers (The Traveller)|The Alan Parsons Project
Volcano|Jimmy Buffett
Some Kinda Fun|Chris Montez
I Do'wanna Know|REO Speedwagon
Move In A Little Closer  Baby|Mama Cass
I Never Said Goodbye|Engelbert Humperdinck
That's When I Think Of You|1927
Can You Feel It|Bobby Goldsboro
Jeremy/Yellow Ledbetter|Pearl Jam
Ha|Juvenile
One Night Stand|J-Shin Featuring LaTocha Scott
Heart Hotels|Dan Fogelberg
Sandy|The Hollies
Without Love|Donna Lewis
To Show I Love You|Peter And Gordon
Your Love (Means Everything to Me)|Charles Wright And The Watts 103rd Street Rhythm Band
